label,thresh,coordinates
0,0,"[97, -4, -73, -64, 5, -2, 4]"
0,0,"[99, -5, -73, -66, 2, -2, 3]"
0,0,"[91, -6, -65, -64, 1, -2, 1]"
0,0,"[86, -6, -56, -65, 2, -2, 0]"
0,0,"[85, -5, -53, -66, 3, -3, 0]"
0,0,"[87, -6, -53, -69, 3, -2, 0]"
0,0,"[83, -7, -49, -67, 1, -3, 0]"
0,0,"[83, -8, -45, -69, 0, -3, 1]"
0,0,"[79, -7, -40, -68, 1, -3, 2]"
0,0,"[77, -9, -38, -66, 3, -3, 3]"
0,0,"[77, -11, -39, -66, 2, -2, 5]"
0,0,"[84, -18, -39, -72, 2, -1, 7]"
0,0,"[91, -24, -41, -78, 1, 2, 8]"
0,0,"[82, -12, -44, -68, 0, 3, 11]"
0,0,"[80, -16, -45, -64, -3, 1, 12]"
0,0,"[88, -22, -49, -70, -5, 0, 13]"
0,0,"[90, -21, -52, -70, -5, 1, 13]"
0,0,"[125, -30, -74, -96, -4, 4, 11]"
0,0,"[109, -21, -66, -84, -10, 5, 5]"
0,0,"[103, -20, -65, -77, -10, 4, 4]"
0,0,"[109, -18, -63, -87, -5, 3, 1]"
0,0,"[140, -19, -75, -117, 5, 13, -2]"
0,0,"[117, -3, -74, -91, 5, 7, -4]"
0,0,"[97, -4, -61, -75, 0, 2, -1]"
0,0,"[86, -4, -52, -69, -1, 0, 0]"
0,0,"[88, -9, -49, -73, -3, -1, 0]"
0,0,"[99, -6, -42, -89, -2, 2, -1]"
0,0,"[89, -16, -46, -75, 0, 2, -2]"
0,0,"[91, -12, -43, -79, -1, 0, 0]"
0,0,"[93, -10, -45, -81, -1, 1, -1]"
0,0,"[92, -12, -48, -78, -1, 0, -1]"
0,0,"[91, -9, -47, -77, -1, 0, -1]"
0,0,"[87, -10, -44, -74, -1, 0, 0]"
0,0,"[86, -10, -43, -74, 0, 0, 0]"
0,0,"[90, -10, -44, -78, 0, 0, 0]"
0,0,"[91, -8, -48, -77, 0, 0, 0]"
0,0,"[89, -9, -48, -75, 0, 0, 0]"
0,0,"[89, -9, -48, -75, 0, 0, 0]"
0,0,"[91, -11, -46, -78, 0, 0, 0]"
0,0,"[91, -11, -46, -78, 0, 0, 0]"
0,0,"[89, -9, -45, -76, 0, 0, 0]"
0,0,"[88, -10, -44, -76, 0, 0, 0]"
0,0,"[90, -9, -45, -77, 0, 0, 0]"
0,0,"[90, -8, -45, -77, 0, 0, 0]"
0,0,"[90, -9, -48, -76, 0, 0, 0]"
0,0,"[89, -8, -46, -76, 0, 0, 0]"
0,0,"[89, -9, -45, -76, 0, 0, 0]"
0,0,"[89, -9, -44, -77, 0, 0, 0]"
0,0,"[91, -9, -46, -78, 0, 1, 0]"
0,0,"[91, -8, -47, -78, 0, 0, 0]"
0,0,"[89, -8, -47, -75, 0, 0, 0]"
0,0,"[89, -9, -46, -76, 0, 0, 0]"
0,0,"[89, -8, -46, -76, 0, 0, 0]"
0,0,"[88, -9, -46, -75, 0, 0, 0]"
0,0,"[87, -7, -45, -74, 0, 0, 0]"
0,0,"[90, -7, -47, -76, 0, 0, 0]"
0,0,"[90, -9, -46, -77, 0, 0, 0]"
0,0,"[90, -9, -45, -77, 0, 0, 0]"
0,0,"[89, -8, -45, -76, 0, 0, 0]"
0,0,"[90, -9, -46, -77, 0, 0, 0]"
0,0,"[89, -9, -45, -76, 0, 0, 0]"
0,0,"[90, -7, -46, -77, 0, 0, 0]"
0,0,"[89, -8, -47, -75, 0, 0, 0]"
0,0,"[90, -9, -47, -76, 0, 0, 0]"
0,0,"[90, -8, -47, -76, 0, 0, 0]"
0,0,"[89, -8, -45, -76, 0, 0, 0]"
0,0,"[89, -8, -46, -76, 0, 0, 0]"
0,0,"[88, -9, -46, -75, 0, 0, 0]"
0,0,"[90, -8, -47, -76, 0, 0, 0]"
0,0,"[90, -7, -47, -76, 0, 0, 0]"
0,0,"[90, -8, -47, -76, 0, 0, 0]"
0,0,"[90, -8, -47, -76, 0, 0, 0]"
0,0,"[90, -7, -47, -76, 0, 0, 0]"
0,0,"[88, -7, -46, -75, 0, 0, 0]"
0,0,"[92, -9, -49, -77, 0, 0, 0]"
0,0,"[91, -8, -48, -77, 0, 0, 0]"
0,0,"[105, -20, -50, -90, 4, 2, 0]"
0,0,"[134, -11, -73, -112, 18, 4, -5]"
0,0,"[240, -3, -163, -176, 17, 7, -19]"
0,0,"[214, -22, -132, -167, -19, 14, -25]"
0,0,"[143, 36, -49, -129, -10, 22, -24]"
0,0,"[136, 53, -36, -120, 8, 18, -21]"
0,0,"[126, 71, -26, -101, 5, 20, -17]"
0,0,"[119, 87, -5, -81, 0, 23, -14]"
0,0,"[102, 83, 3, -60, 0, 19, -11]"
0,0,"[79, 67, 0, -41, 5, 14, -5]"
0,0,"[75, 71, 0, -23, 8, 12, 0]"
0,0,"[68, 68, -1, -8, 8, 9, 3]"
0,0,"[73, 73, 0, 0, 7, 5, 5]"
0,0,"[69, 68, -14, -1, 0, 1, 6]"
0,0,"[58, 56, -13, -7, -11, 0, 9]"
0,0,"[40, 36, -11, -14, -18, 0, 15]"
0,0,"[44, 22, -32, -20, -17, -3, 20]"
0,0,"[63, 10, -39, -48, -10, -7, 20]"
0,0,"[91, -17, -63, -64, -10, -10, 20]"
0,0,"[117, -41, -61, -91, -18, -3, 18]"
0,0,"[97, -30, -45, -80, -19, 0, 16]"
0,0,"[77, -29, -25, -67, -9, -2, 13]"
0,0,"[79, -45, -24, -60, 1, -5, 16]"
0,0,"[95, -49, -44, -69, 5, -4, 18]"
0,0,"[111, -46, -65, -77, 0, -3, 16]"
0,0,"[100, -34, -63, -70, -1, -3, 9]"
0,0,"[81, -14, -60, -52, -1, -8, 5]"
0,0,"[113, -30, -65, -88, 0, -5, 0]"
0,0,"[123, -30, -63, -101, -3, -4, -1]"
0,0,"[100, -15, -54, -83, -3, 1, -4]"
0,0,"[152, -35, -78, -126, 4, 3, -4]"
0,0,"[132, 50, -60, -107, 5, 11, -3]"
0,0,"[96, -7, -55, -78, 2, 0, -3]"
0,0,"[77, 14, -48, -59, 0, 0, -2]"
0,0,"[90, 7, -46, -77, -3, 0, -1]"
0,0,"[92, 7, -44, -80, -3, 0, 0]"
