,label,thresh,coordinates
0,0,0,"['91', '29', '-47', '-72', '0', '0', '0']"
1,0,0,"['91', '30', '-46', '-72', '0', '0', '0']"
2,0,0,"['92', '28', '-45', '-75', '0', '0', '0']"
3,0,0,"['90', '31', '-43', '-73', '0', '0', '0']"
4,0,0,"['91', '30', '-45', '-73', '0', '0', '0']"
5,0,0,"['93', '28', '-48', '-74', '0', '0', '0']"
6,0,0,"['88', '22', '-44', '-73', '0', '0', '0']"
7,0,0,"['93', '33', '-47', '-73', '0', '0', '0']"
8,0,0,"['90', '31', '-45', '-71', '0', '0', '0']"
9,0,0,"['92', '30', '-45', '-74', '0', '0', '0']"
10,0,0,"['91', '31', '-43', '-74', '0', '0', '1']"
11,0,0,"['92', '29', '-47', '-73', '0', '0', '0']"
12,0,0,"['91', '28', '-49', '-71', '0', '0', '0']"
13,0,0,"['92', '29', '-49', '-72', '0', '0', '0']"
14,0,0,"['90', '32', '-46', '-71', '0', '0', '0']"
15,0,0,"['91', '31', '-45', '-73', '0', '0', '0']"
16,0,0,"['91', '31', '-47', '-72', '0', '0', '0']"
17,0,0,"['92', '27', '-47', '-74', '0', '0', '0']"
18,0,0,"['92', '28', '-47', '-74', '0', '0', '0']"
19,0,0,"['91', '29', '-44', '-74', '0', '0', '0']"
20,0,0,"['90', '31', '-44', '-72', '0', '0', '0']"
21,0,0,"['92', '29', '-46', '-74', '0', '0', '0']"
22,0,0,"['94', '30', '-49', '-74', '0', '0', '0']"
23,0,0,"['93', '31', '-51', '-71', '0', '-1', '0']"
24,0,0,"['92', '27', '-47', '-74', '0', '0', '0']"
25,0,0,"['92', '30', '-47', '-73', '0', '0', '0']"
26,0,0,"['91', '31', '-44', '-73', '1', '0', '-2']"
27,0,0,"['90', '29', '-48', '-71', '0', '0', '-2']"
28,0,0,"['91', '27', '-50', '-71', '0', '0', '-2']"
29,0,0,"['91', '30', '-45', '-73', '-1', '0', '-1']"
30,0,0,"['90', '31', '-43', '-73', '-1', '0', '0']"
31,0,0,"['92', '33', '-44', '-74', '1', '0', '0']"
32,0,0,"['92', '35', '-50', '-69', '5', '-1', '-2']"
33,0,0,"['91', '34', '-54', '-65', '4', '-2', '-3']"
34,0,0,"['90', '32', '-51', '-67', '1', '-4', '-4']"
35,0,0,"['98', '24', '-52', '-79', '0', '-2', '-3']"
36,0,0,"['89', '31', '-40', '-73', '0', '0', '0']"
37,0,0,"['91', '27', '-45', '-74', '0', '0', '0']"
38,0,0,"['93', '26', '-49', '-75', '0', '0', '0']"
39,0,0,"['89', '29', '-44', '-72', '1', '0', '0']"
40,0,0,"['92', '28', '-51', '-71', '0', '0', '-1']"
41,0,0,"['90', '30', '-46', '-71', '0', '0', '-1']"
