,label,thresh,coordinates
0,0,0,"[90, 19, -61, -64, 0, 0, 0]"
1,0,0,"[93, 20, -63, -65, 0, 0, 0]"
2,0,0,"[91, 20, -61, -64, 0, 0, 0]"
3,0,0,"[92, 20, -62, -65, 0, 0, 0]"
4,0,0,"[91, 20, -61, -64, 0, 0, 0]"
5,0,0,"[91, 20, -61, -64, 0, 0, 0]"
6,0,0,"[93, 20, -64, -64, 0, 0, 0]"
7,0,0,"[91, 20, -61, -64, 0, 0, 0]"
8,0,0,"[92, 20, -63, -64, 0, 0, 0]"
9,0,0,"[91, 20, -62, -63, 0, 0, 0]"
10,0,0,"[93, 20, -64, -65, 0, 0, 0]"
11,0,0,"[91, 21, -62, -63, 0, 0, 0]"
12,0,0,"[94, 20, -63, -67, 0, 0, 0]"
13,0,0,"[93, 18, -63, -66, 1, 0, -1]"
14,0,0,"[91, 20, -62, -64, 0, 0, -1]"
15,0,0,"[91, 21, -61, -64, 0, 0, 0]"
16,0,0,"[92, 20, -62, -65, 0, 0, 0]"
17,0,0,"[92, 20, -63, -64, 0, 0, 0]"
18,0,0,"[92, 20, -64, -63, 0, 0, 0]"
19,0,0,"[91, 20, -61, -65, 0, 0, 0]"
20,0,0,"[91, 20, -61, -65, 0, 0, 0]"
21,0,0,"[92, 20, -63, -64, 0, 0, 0]"
22,0,0,"[91, 20, -62, -64, 0, 0, 0]"
23,0,0,"[91, 21, -61, -64, 0, 0, 0]"
24,0,0,"[91, 20, -62, -64, 0, 0, 0]"
25,0,0,"[92, 20, -63, -64, 0, 0, 0]"
26,0,0,"[92, 20, -63, -64, 0, 0, 0]"
27,0,0,"[89, 21, -61, -61, 0, 0, 0]"
28,0,0,"[89, 21, -60, -63, 0, 0, 0]"
29,0,0,"[92, 20, -62, -65, 0, 0, 0]"
30,0,0,"[92, 21, -61, -65, 0, 0, 0]"
31,0,0,"[89, 22, -59, -63, 0, 0, 0]"
32,0,0,"[92, 19, -64, -63, 0, 0, 0]"
33,0,0,"[93, 18, -63, -66, 0, 0, 0]"
34,0,0,"[92, 18, -63, -64, 0, 0, 0]"
35,0,0,"[92, 20, -63, -64, 0, 0, 0]"
36,0,0,"[92, 20, -63, -64, 0, 0, 0]"
37,0,0,"[92, 20, -62, -65, 0, 0, 0]"
38,0,0,"[94, 21, -65, -65, 0, 0, 0]"
39,0,0,"[93, 21, -64, -64, 0, 0, 0]"
40,0,0,"[92, 21, -61, -65, 0, 0, 0]"
41,0,0,"[91, 20, -61, -65, 0, 0, 0]"
42,0,0,"[91, 20, -61, -65, 0, 0, 0]"
43,0,0,"[93, 20, -64, -64, 0, 0, 0]"
44,0,0,"[90, 19, -62, -63, 0, 0, 0]"
45,0,0,"[90, 20, -60, -64, 0, 0, 0]"
46,0,0,"[91, 20, -60, -65, 0, 0, 0]"
47,0,0,"[92, 20, -62, -65, 0, 0, 0]"
48,0,0,"[92, 20, -62, -65, 0, 0, 0]"
49,0,0,"[91, 20, -62, -64, 0, 0, 0]"
50,0,0,"[92, 21, -61, -65, 0, 0, 0]"
51,0,0,"[91, 20, -61, -65, 0, 0, 0]"
52,0,0,"[92, 21, -66, -61, 2, 2, -1]"
53,0,0,"[96, 18, -68, -66, 2, 0, -2]"
54,0,0,"[92, 19, -65, -62, 0, 0, -3]"
55,0,0,"[89, 21, -63, -60, 0, -1, -4]"
56,0,0,"[90, 20, -62, -62, 1, -2, -4]"
57,0,0,"[97, 27, -61, -71, 4, -1, -3]"
58,0,0,"[96, 22, -61, -71, 7, 2, -3]"
59,0,0,"[91, 17, -60, -66, 8, 0, -1]"
60,0,0,"[96, 22, -68, -64, 6, 3, 0]"
61,0,0,"[92, 23, -67, -58, 1, 6, 0]"
62,0,0,"[86, 26, -63, -53, 0, 4, 1]"
63,0,0,"[88, 24, -67, -52, 0, 1, 3]"
64,0,0,"[91, 24, -69, -55, -2, 0, 3]"
65,0,0,"[93, 23, -70, -57, -3, 0, 3]"
66,0,0,"[83, 13, -55, -61, -3, 3, 2]"
67,0,0,"[91, 23, -67, -57, -4, 0, 3]"
68,0,0,"[91, 22, -66, -59, -3, 0, 2]"
69,0,0,"[92, 23, -67, -59, -2, -1, 1]"
70,0,0,"[94, 21, -68, -61, -2, 0, 0]"
71,0,0,"[92, 20, -66, -61, -3, 0, 0]"
72,0,0,"[90, 23, -56, -66, -2, 0, 1]"
73,0,0,"[90, 24, -60, -63, 0, 0, 0]"
74,0,0,"[91, 20, -64, -62, 0, 0, 0]"
75,0,0,"[91, 25, -64, -60, 0, 0, 0]"
76,0,0,"[91, 22, -64, -61, -1, -2, 1]"
77,0,0,"[91, 21, -65, -60, 0, 0, 0]"
78,0,0,"[93, 21, -64, -64, 0, 0, 0]"
79,0,0,"[91, 21, -63, -62, 0, 0, 0]"
80,0,0,"[92, 19, -65, -63, 0, 0, 0]"
81,0,0,"[92, 21, -62, -64, 0, 0, 0]"
82,0,0,"[92, 21, -63, -64, 0, 0, 0]"
83,0,0,"[91, 20, -64, -62, 0, 0, 0]"
